sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.0161136363636363,-0.709,0.0,0.0,-0.0225,-0.99,-0.0128636363636363,-0.566,0.0,0.0,1.0
"#OFERTHEC Notebook Dell Inspiron i14-3442-B10 R$ 1.799,90* à vista ou em 4x sem juros no… https://instagram.com/p/7xZmfGHKF8/",0.0063157894736842,0.12,-0.0305263157894736,-0.58,-0.009,-0.171,-0.0009999999999999,-0.0189999999999999,0.0307368421052631,0.584,0.0
Semana do Cliente FNAC continua com ofertas de Notebook Dell e Samsung http://quenotebookcomprar.com.br/semana-do-cliente-fnac-continua-com-ofertas-de-notebook-dell-e-samsung/ …,0.0369285714285714,0.517,-0.0694999999999999,-0.973,0.06,0.84,0.0527142857142857,0.738,-0.0082857142857142,-0.116,0.0
Problemas c/ o teclado do seu notebook Dell? Adquira um novo BB Baterias! Confira os preços: http://goo.gl/RymKrU,-0.0172499999999999,-0.345,0.02045,0.409,-0.04715,-0.943,-0.0167499999999999,-0.3349999999999999,-0.0043,-0.086,0.0
então vamos começar mudando para um Notebook Dell Vostro http://goo.gl/ZPW5sZ,-0.0290999999999999,-0.291,0.0289999999999999,0.29,-0.099,-0.99,-0.0379999999999999,-0.3799999999999999,-0.0149,-0.149,0.0
@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(,0.0059130434782608,0.136,0.0383478260869565,0.882,-0.0081739130434782,-0.188,0.0028695652173913,0.066,0.0164347826086956,0.378,1.0
Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung",0.061125,0.978,-0.0275,-0.44,0.0472499999999999,0.7559999999999999,0.0524999999999999,0.8399999999999999,-0.0045,-0.072,1.0
"Notebook Dell Vostro V14T-5470-B30 Intel Core i5 4GB (2GB de Memória Dedicada) 500GB LED 14"" Touchscreen Windows 8... http://fb.me/J7liX8dJ",0.0198846153846153,0.517,-0.0051923076923076,-0.135,0.0658846153846153,1.713,0.0518076923076923,1.347,0.0,0.0,0.0
#DICA Compre um super notebook com qualidade Dell! Confira: http://goo.gl/mbRp7J  ??,0.01275,0.204,-0.059375,-0.95,-0.0064374999999999,-0.1029999999999999,0.0219375,0.3510000000000001,0.0,0.0,0.0
