sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
A grande vantagem desse hotel é ser perto do aeroporto.,0.1467272727272727,1.614,-0.0033636363636363,-0.037,0.1324545454545454,1.457,0.154,1.694,0.0008181818181818,0.009,1.0
Há uma estação de metrô relativamente perto também.,0.0633333333333333,0.57,-0.1129999999999999,-1.017,0.0963333333333333,0.867,0.0882222222222222,0.794,0.0081111111111111,0.073,0.0
"As fotos divulgadas não condizem tanto com a realidade do local, mas ainda assim valeu a estadia.",-0.0670526315789473,-1.274,0.01,0.19,-0.0339473684210526,-0.645,-0.0610526315789473,-1.16,-0.0057368421052631,-0.1089999999999999,0.0
Bom para ficar um período curto.,0.0315714285714285,0.221,-0.1134285714285714,-0.794,-0.1194285714285714,-0.836,-0.0388571428571428,-0.272,-0.1422857142857143,-0.996,0.0
horel em reforma.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarto razoável ma so preco nao condis com o serviço prestado.,0.0224166666666666,0.269,0.0164166666666666,0.197,-0.0114166666666666,-0.137,0.0020833333333333,0.0249999999999999,-0.0211666666666666,-0.254,1.0
nao fui avisado sobre taxa de garagem.,0.064625,0.517,-0.131,-1.048,0.105,0.84,0.10025,0.802,0.0,0.0,0.0
15 reais para guardar o carro.,0.0098571428571428,0.069,0.0,0.0,0.0,0.0,0.0032857142857142,0.023,0.0,0.0,0.0
cafe da manha razoavel.ar condicionado miito barulhento,0.0872857142857142,0.611,-0.0154285714285714,-0.1079999999999999,0.2542857142857143,1.78,0.2028571428571428,1.42,0.0,0.0,0.0
"Ótimo acesso, elevador, garagem, café da manhã regular, mas o salão de refeições é bem grande... quartos com um bom tamanho, recepcionistas muito ágeis.",0.0360645161290322,1.118,-0.0407096774193548,-1.262,0.063258064516129,1.961,0.0687096774193548,2.1300000000000003,0.013258064516129,0.411,1.0
"Fica ao lado do tremsurb, o que dá fácil acesso à rodoviária e ao aeroporto.",0.0072941176470588,0.124,0.0052941176470588,0.09,0.0024117647058823,0.041,0.0048235294117647,0.082,0.0005882352941176,0.01,1.0
"Hotel com boa localização, próximo ao aeroporto.Cômodos simples mas em ordem e limpos.",0.0380588235294117,0.647,0.0013529411764705,0.023,0.0726470588235294,1.235,0.0571176470588235,0.971,-0.014235294117647,-0.242,1.0
"Ar-condicionado muito barulhento e atendimento da recepção muito atrapalhado.Servem um bom jantar, simples mas com qualidade e variedade compatível ao preço.",0.05176,1.2940000000000005,0.00188,0.0470000000000001,0.083,2.075,0.0868,2.17,0.013,0.325,1.0
