sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
"""Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo""",0.1238695652173913,2.849,0.0582608695652173,1.34,0.018695652173913,0.43,0.0825217391304347,1.898,-0.0076521739130434,-0.176,1.0
"""Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.""",0.1653124999999999,2.645,-0.1370625,-2.193,0.134,2.144,0.142875,2.286,0.031,0.496,1.0
"""Recomendo.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Pedimos um pirarucu ao molho de tucupi e não arrependemos""",-0.0159999999999999,-0.1919999999999999,-0.0810833333333333,-0.973,-0.0125,-0.15,0.0175833333333333,0.211,0.0,0.0,0.0
"""O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..""",0.0606808510638298,2.8520000000000003,-0.0321063829787234,-1.509,0.072,3.3839999999999995,0.067,3.1490000000000005,-0.0019361702127659,-0.091,1.0
"""Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.""",0.072625,1.743,0.0346666666666666,0.832,0.1003333333333333,2.408,0.0956666666666666,2.2960000000000003,0.0,0.0,1.0
"""Comida Boa por um bom preço.""",-0.0475555555555555,-0.428,0.0352222222222222,0.317,-0.1132222222222222,-1.019,-0.0438888888888888,-0.3949999999999999,-0.0063333333333333,-0.057,1.0
"""O restaurante fica dentro do hotel Vila Amazônia""",-0.086,-0.86,0.0,0.0,-0.0684,-0.684,-0.0833,-0.833,0.0955999999999999,0.956,0.0
"""Boa carne, atendimento eficiente e grande variedade de saladas.""",0.2441538461538461,3.174,-0.2513076923076923,-3.267,0.2146923076923076,2.791,0.2445384615384615,3.1790000000000003,0.0032307692307692,0.042,1.0
"""Local agradável.""",0.1938,0.969,-0.0872,-0.436,0.1264,0.632,0.1536,0.768,-0.0224,-0.112,1.0
"""Sucos com frutas locais além dos tradicionais.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Adoro as pizzas e o almoço, nas duas unidades.""",0.0183846153846153,0.239,0.011076923076923,0.144,0.0,0.0,0.0086153846153846,0.112,0.0035384615384615,0.046,1.0
"""O atendimento também é muito bom.""",0.0,0.0,-0.1058888888888888,-0.953,0.0025555555555555,0.023,0.0156666666666666,0.141,0.0614444444444444,0.553,1.0
"""Delivery também vale super a pena.. a pizza chega bem quentinha!""",0.1025333333333333,1.538,0.1248666666666666,1.873,0.0613333333333333,0.92,0.0962,1.443,0.0,0.0,1.0
"""Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.""",0.01121875,0.3590000000000001,-0.07803125,-2.497,0.05196875,1.663,0.046,1.4720000000000002,-0.02971875,-0.951,0.0
"""Mas nada que nos impeça de voltar""",-0.0384444444444444,-0.346,-0.0953333333333333,-0.858,-3.0839528461809906e-18,-2.775557561562892e-17,-0.0162222222222222,-0.1459999999999999,0.0866666666666666,0.78,0.0
"""Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.""",0.038090909090909,1.257,0.005090909090909,0.1679999999999999,-0.0016060606060606,-0.053,0.0351515151515151,1.16,-0.0016060606060606,-0.053,0.0
"""Parada obrigatória sempre que vou a Manaus!!""",0.0687272727272727,0.756,-0.050090909090909,-0.551,0.084,0.924,0.0676363636363636,0.744,0.0,0.0,0.0
"""Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.""",0.0421052631578947,0.8,0.0729473684210526,1.386,-0.045,-0.855,0.0193684210526315,0.368,-0.0121052631578947,-0.2299999999999999,0.0
"""Atendimento bom, local familiar.""",0.118875,0.951,-0.0953749999999999,-0.7629999999999999,0.092125,0.737,0.11325,0.906,-0.014,-0.112,1.0
"""Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.""",0.0794782608695652,1.828,0.021,0.4830000000000001,0.0686521739130434,1.579,0.0772608695652174,1.777,-0.0083043478260869,-0.191,1.0
"""O tacacá continua bom, mas o problema ainda é o preço.""",-0.0459333333333333,-0.689,0.0163333333333333,0.245,-0.0133333333333333,-0.2,-0.0353333333333333,-0.53,-0.063,-0.945,1.0
"""Inclusive, recentemente houve um aumento para R$18,00.""",-0.0317499999999999,-0.3809999999999999,0.026,0.312,-0.0825,-0.99,-0.0331666666666666,-0.3979999999999999,-0.0113333333333333,-0.136,0.0
"""Resultado: só dá para provar de vez em quando.""",-0.029,-0.377,-0.0748461538461538,-0.973,0.0038461538461538,0.0499999999999999,-0.0052307692307692,-0.068,0.0653846153846153,0.85,0.0
"""Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.""",0.0543,1.086,0.06285,1.257,0.0424,0.8480000000000001,0.0491,0.982,-0.00695,-0.139,1.0
"""Deliciosos pratos.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Local aconchegante e familar.""",0.0261428571428571,0.183,0.0271428571428571,0.19,0.0175714285714285,0.123,0.0182857142857142,0.128,-0.016,-0.112,1.0
"""Boa comida e boa bebida.""",0.027875,0.223,0.019125,0.153,-0.003625,-0.029,0.012125,0.097,-0.007125,-0.057,1.0
"""Ideal para desfrutar um jantar romantico.""",-0.038,-0.3419999999999999,0.0305555555555555,0.275,-0.0873333333333333,-0.786,-0.0339999999999999,-0.3059999999999999,-0.0074444444444444,-0.067,0.0
"""Tucunaré escabeche, e primeira, pirão a gosto.""",0.1185,1.4220000000000002,-0.0763333333333333,-0.916,0.1273333333333333,1.528,0.1074166666666666,1.289,0.0,0.0,0.0
"""Tucunaré peixada sem igual.""",-0.0884285714285714,-0.619,0.0,0.0,-0.1271428571428571,-0.89,-0.0997142857142857,-0.698,0.0834285714285714,0.584,1.0
"""Vários tipos de molho regional, com tucupi e outros.""",0.0103076923076923,0.1339999999999999,-0.0557692307692307,-0.725,0.0289999999999999,0.3769999999999999,0.0185384615384615,0.241,0.0655384615384615,0.8520000000000001,0.0
"""A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.""",0.0526176470588235,1.7889999999999997,-0.0531176470588235,-1.806,0.0649705882352941,2.209,0.0524411764705882,1.783,-0.0014411764705882,-0.049,1.0
"""Os pratos, petiscos e bebidas são nota 10!""",0.069,0.8280000000000001,-0.0744166666666666,-0.893,0.0961666666666666,1.154,0.0840833333333333,1.009,0.0,0.0,1.0
"""Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.""",-0.0343529411764705,-0.5840000000000001,0.0115882352941176,0.197,-0.0377058823529411,-0.641,-0.0332941176470588,-0.5660000000000001,0.0255294117647058,0.434,1.0
"""Então, tenha paciência!""",0.1288571428571428,0.902,0.1401428571428571,0.981,0.0,0.0,0.0897142857142857,0.628,0.0,0.0,0.0
"""rs O bar lota nos fins de tarde, principalmente às sextas feiras.""",0.0323125,0.517,-0.0566249999999999,-0.906,0.05375,0.86,0.050375,0.806,0.0,0.0,0.0
"""No andar de cima, o burburinho chega a ser insuportável de tanta gente!""",0.0136470588235294,0.2319999999999999,-0.1204117647058823,-2.047,0.0583529411764705,0.992,0.0452941176470588,0.77,0.0567647058823529,0.965,0.0
"""rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""), aguente..... rs Vale a pena!""",0.0716363636363636,0.788,0.0811818181818181,0.893,0.0,0.0,0.0509090909090909,0.56,0.0,0.0,0.0
"""Mesmo com os preços um pouco salgados....""",0.053,0.53,-0.0542,-0.542,-0.0079999999999999,-0.0799999999999999,0.06,0.6000000000000001,-0.0051999999999999,-0.0519999999999999,1.0
"""Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,""",0.076516129032258,2.372,0.1228064516129032,3.807,0.0314193548387096,0.974,0.0759354838709677,2.354,-0.0029032258064516,-0.09,1.0
"""Muito bom.""",-0.1536,-0.768,0.0,0.0,-0.1182,-0.591,-0.1274,-0.637,0.1106,0.553,0.0
"""Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.""",0.04725,0.945,-0.0373,-0.746,0.0328,0.656,0.04465,0.893,-0.0041,-0.082,0.0
"""Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.""",0.0839090909090909,1.846,-0.0504090909090909,-1.109,0.0956818181818181,2.105,0.113,2.486,-0.0030454545454545,-0.067,1.0
"""Já fui diversas vezes e sempre levando amigos e parentes para conhecer.""",0.0358666666666666,0.538,-0.0496,-0.744,-0.0485333333333333,-0.728,-6.666666666665932e-05,-0.0009999999999998,0.0414666666666666,0.622,0.0
"""Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.""",0.064,1.7280000000000002,-0.0971111111111111,-2.622,0.0585185185185185,1.58,0.070074074074074,1.892,0.0216296296296296,0.584,0.0
"""As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.""",0.0392592592592592,1.0599999999999998,-0.0616666666666666,-1.665,0.0528518518518518,1.427,0.0498518518518518,1.346,-0.0042962962962962,-0.116,0.0
"""Para quem não conhece ainda, recomendo.""",-0.0747,-0.747,0.0,0.0,0.0,0.0,-0.0522,-0.522,-0.0818,-0.818,0.0
"""Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.""",0.0788125,1.261,0.060625,0.97,0.00125,0.02,0.04675,0.748,-0.0090625,-0.145,0.0
"""Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.""",0.1654285714285714,6.947999999999999,-0.1130714285714285,-4.749,0.1437142857142857,6.036,0.1607380952380952,6.751000000000001,-0.0013571428571428,-0.057,1.0
"""SUPER RECOMENDO.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""A tradição gaúcha está bem representada o a Búfalo.""",0.1348333333333333,1.618,0.1583333333333333,1.9,0.1579166666666666,1.895,0.1503333333333333,1.804,0.0,0.0,0.0
"""Cortes especiais das mais nobres carnes são um convite todo especial.""",0.0782857142857142,1.096,0.0734285714285714,1.028,-0.0562142857142857,-0.7869999999999999,0.0318571428571428,0.446,0.0,0.0,1.0
"""Delicioso, variado e completo buffet.""",0.0568888888888888,0.512,0.0304444444444444,0.274,0.0553333333333333,0.498,0.0487777777777777,0.439,0.0054444444444444,0.049,1.0
"""Pratos quentes fenomenais.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Também com opção de comida japonesa e peixes em geral.""",0.0569230769230769,0.74,-0.063076923076923,-0.82,0.0623846153846153,0.8109999999999999,0.0672307692307692,0.874,-0.0043846153846153,-0.057,0.0
"""Agrada facilmente todos os gostos.""",-0.018125,-0.145,0.0,0.0,0.09,0.7200000000000001,0.0165,0.132,-0.0225,-0.18,0.0
"""Ambiente amplo, confortável e muito agradável.""",0.0967,0.967,0.0812,0.8119999999999999,0.0874,0.874,0.1117,1.117,0.0553,0.553,1.0
"""Atendimento nota 10.""",0.128,0.768,-0.1588333333333333,-0.953,0.1023333333333333,0.614,0.1296666666666666,0.778,0.0,0.0,1.0
"""Exelente localização.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.""",0.0513548387096774,1.592,-0.0169677419354838,-0.5259999999999999,0.0914193548387096,2.834,0.0810967741935484,2.514,-0.0081612903225806,-0.253,0.0
"""E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.""",0.0715238095238095,1.502,-0.0423809523809523,-0.89,0.0826666666666666,1.736,0.0681904761904761,1.432,0.0,0.0,1.0
"""atendimento deixa a desejar.""",0.1097142857142857,0.768,-0.1361428571428571,-0.953,0.0877142857142857,0.614,0.1111428571428571,0.778,0.0,0.0,1.0
"""Nem sempre fui bem atendida.""",0.09375,0.75,0.1225,0.98,0.115,0.92,0.110375,0.883,0.0,0.0,0.0
"""Mesmo os não vegetarianos comerão bem.""",0.1175555555555555,1.058,0.1325555555555555,1.193,0.1022222222222222,0.92,0.1146666666666666,1.032,-0.0081111111111111,-0.073,0.0
"""Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.""",0.1102,1.653,-0.118,-1.77,0.1132,1.698,0.1178666666666666,1.768,-0.0083333333333333,-0.125,1.0
"""Almoçamos em uma sexta feira, fomos em 2 famílias.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""A comida estava boa e bem servida.""",0.0973,0.973,0.1133,1.133,0.0891,0.891,0.098,0.98,-0.0057,-0.057,1.0
"""O ambiente é amplo com 2 andares e banheiros bastante limpos.""",0.0677857142857142,0.949,0.0527142857142857,0.738,0.0,0.0,0.0401428571428571,0.562,0.0,0.0,1.0
"""O atendimento é cordial.""",0.1097142857142857,0.768,-0.1361428571428571,-0.953,0.0877142857142857,0.614,0.1111428571428571,0.778,0.0,0.0,1.0
"""O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.""",0.0063448275862068,0.1839999999999999,-0.0263448275862068,-0.7639999999999998,-0.1009655172413793,-2.928,-0.0062758620689655,-0.1819999999999999,-0.011103448275862,-0.322,0.0
"""O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.""",0.0507647058823529,0.863,0.0015882352941176,0.027,0.0599411764705882,1.019,0.0639411764705882,1.087,0.0325294117647058,0.553,1.0
"""As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!""",-0.0035172413793103,-0.1019999999999999,0.0021379310344827,0.0619999999999999,-0.0086551724137931,-0.2510000000000001,0.0126896551724137,0.3680000000000001,-0.0142758620689655,-0.414,0.0
"""Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.""",-0.05225,-1.254,-0.0333333333333333,-0.7999999999999999,-0.0324583333333333,-0.779,-0.0289999999999999,-0.696,0.0437083333333333,1.0490000000000002,1.0
"""Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.""",0.0927058823529411,1.576,-0.0764705882352941,-1.3,0.0825882352941176,1.404,0.0838823529411764,1.426,0.0,0.0,0.0
"""Contém também sopas""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""O restaurante do SENAC é bem situado.""",0.075,0.75,0.098,0.98,0.0998,0.998,0.0909,0.909,0.0,0.0,1.0
"""Ambiente super higienizado, atendimento excelente, os preços são ótimos.""",0.1296428571428571,1.815,-0.0455714285714285,-0.638,0.1141428571428571,1.598,0.1109285714285714,1.553,0.0015,0.021,1.0
"""As comidas são excelentes.""",0.027,0.189,0.011,0.077,0.029,0.203,0.0222857142857142,0.156,0.0,0.0,1.0
"""Muito bom..., aconselho!.""",-0.0853333333333333,-0.768,0.0,0.0,-0.0656666666666666,-0.591,-0.0707777777777777,-0.637,0.0614444444444444,0.553,0.0
"""Vale experimentar o tambaqui na brasa, é muito bom!!!""",-0.0322,-0.483,0.0093999999999999,0.141,-0.0413333333333333,-0.62,-0.0350666666666666,-0.526,0.0326,0.489,1.0
"""O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.""",-0.032578947368421,-0.619,-0.0501578947368421,-0.953,-0.0415263157894736,-0.789,-0.0279473684210526,-0.5309999999999999,0.0598421052631579,1.137,1.0
"""Muito bom o atendimento.""",0.0,0.0,-0.1361428571428571,-0.953,0.0032857142857142,0.023,0.0201428571428571,0.141,0.079,0.553,1.0
"""Cardápio variado.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Culinária regional e deliciosa.""",0.1407142857142857,0.985,-0.1027142857142857,-0.719,0.2761428571428571,1.933,0.1732857142857143,1.213,0.0,0.0,0.0
"""Ambiente agradável.""",0.1572,0.786,-0.1252,-0.626,0.1018,0.509,0.128,0.64,0.0,0.0,1.0
"""Custo benefício alto.""",0.0888333333333333,0.533,0.0735,0.441,0.0245,0.147,0.0481666666666666,0.289,-0.0245,-0.147,1.0
"""So vale a pena em datas especiais.""",0.0788,0.788,0.0893,0.893,0.0,0.0,0.056,0.56,0.0,0.0,0.0
"""Recomendo conhecer.""",0.0567999999999999,0.284,0.033,0.165,0.0196,0.098,0.0276,0.138,-0.0268,-0.134,0.0
