sentence,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,6.0,1.0,0.1666666666666666,4.0,0.0606060606060606,1.0
"#OFERTHEC Notebook Dell Inspiron i14-3442-B10 R$ 1.799,90* à vista ou em 4x sem juros no… https://instagram.com/p/7xZmfGHKF8/",19.0,6.0,0.3157894736842105,18.0,0.144,0.0
Semana do Cliente FNAC continua com ofertas de Notebook Dell e Samsung http://quenotebookcomprar.com.br/semana-do-cliente-fnac-continua-com-ofertas-de-notebook-dell-e-samsung/ …,16.0,6.0,0.375,9.0,0.0508474576271186,0.0
Problemas c/ o teclado do seu notebook Dell? Adquira um novo BB Baterias! Confira os preços: http://goo.gl/RymKrU,18.0,7.0,0.3888888888888889,10.0,0.0884955752212389,0.0
então vamos começar mudando para um Notebook Dell Vostro http://goo.gl/ZPW5sZ,11.0,4.0,0.3636363636363636,7.0,0.0909090909090909,0.0
@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(,22.0,2.0,0.0909090909090909,3.0,0.024390243902439,1.0
Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC,15.0,14.0,0.9333333333333332,18.0,0.1714285714285714,0.0
"Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung",12.0,3.0,0.25,4.0,0.0533333333333333,1.0
"Notebook Dell Vostro V14T-5470-B30 Intel Core i5 4GB (2GB de Memória Dedicada) 500GB LED 14"" Touchscreen Windows 8... http://fb.me/J7liX8dJ",20.0,16.0,0.8,24.0,0.1726618705035971,0.0
#DICA Compre um super notebook com qualidade Dell! Confira: http://goo.gl/mbRp7J  ??,11.0,5.0,0.4545454545454545,9.0,0.1071428571428571,0.0
Pense em qualidade ao comprar um notebook! Pense em Dell! ;) Compre com 5% de desconto à vista http://bit.ly/1K9xC32,20.0,5.0,0.25,6.0,0.0517241379310344,0.0
Comece a semana com a qualidade de um Notebook Dell Inspiron e desconto de 5% à vista: http://bit.ly/1MmyNlw  =D,20.0,5.0,0.25,7.0,0.0625,0.0
"@pontofrio quero mandar de volta e cancelar a compra, não gostei desse notebook prefiro muito mais um Dell depois dessa HP nunca mais.",23.0,2.0,0.0869565217391304,3.0,0.0223880597014925,1.0
Análise: notebook Dell XPS 13 [vídeo] http://www.tecmundo.com.br/dell-xps-13/83034-analise-notebook-dell-xps-13-video.htm …,12.0,3.0,0.25,5.0,0.040650406504065,0.0
"*Notebook Dell Latitude E6410 Core i5 2.6, 8gb ram, hd 250gb.. R$1100 parcelo..",14.0,5.0,0.3571428571428571,6.0,0.0759493670886076,0.0
