sentence,rule1,rule2,rule3,rule4,rule5,subjectivity
"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo",1,0,0,1,0,1
"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.",1,1,0,1,0,1
Recomendo.,0,0,0,0,0,0
Pedimos um pirarucu ao molho de tucupi e não arrependemos,0,0,0,0,1,0
"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..",1,1,0,0,1,1
"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.",1,1,0,1,0,1
Comida Boa por um bom preço.,1,0,0,0,0,1
O restaurante fica dentro do hotel Vila Amazônia,0,0,0,0,0,0
"Boa carne, atendimento eficiente e grande variedade de saladas.",1,0,0,1,0,1
Local agradável.,0,0,0,1,0,1
Sucos com frutas locais além dos tradicionais.,0,0,0,1,0,0
"Adoro as pizzas e o almoço, nas duas unidades.",0,0,0,0,0,1
O atendimento também é muito bom.,0,1,0,0,0,1
Delivery também vale super a pena.. a pizza chega bem quentinha!,0,1,0,0,1,1
"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.",0,0,0,0,0,0
Mas nada que nos impeça de voltar,0,0,0,0,0,0
"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.",1,1,0,0,0,0
Parada obrigatória sempre que vou a Manaus!!,0,0,0,1,0,0
"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.",0,0,0,0,1,0
"Atendimento bom, local familiar.",0,0,0,1,0,1
"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.",0,0,0,1,0,1
"O tacacá continua bom, mas o problema ainda é o preço.",0,0,0,0,0,1
"Inclusive, recentemente houve um aumento para R$18,00.",0,0,0,0,1,0
Resultado: só dá para provar de vez em quando.,0,0,0,0,1,0
"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.",0,1,1,1,0,1
Deliciosos pratos.,1,0,0,0,0,1
Local aconchegante e familar.,0,0,0,1,0,1
Boa comida e boa bebida.,1,0,0,0,0,1
Ideal para desfrutar um jantar romantico.,0,0,0,1,0,0
"Tucunaré escabeche, e primeira, pirão a gosto.",0,0,0,1,0,0
Tucunaré peixada sem igual.,0,0,0,0,0,1
"Vários tipos de molho regional, com tucupi e outros.",0,0,0,1,0,0
"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.",0,0,0,1,0,1
"Os pratos, petiscos e bebidas são nota 10!",0,0,0,0,0,1
Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.,0,0,0,0,0,1
"Então, tenha paciência!",0,0,0,0,0,0
"rs O bar lota nos fins de tarde, principalmente às sextas feiras.",0,0,0,0,0,0
"No andar de cima, o burburinho chega a ser insuportável de tanta gente!",0,0,0,0,0,0
"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!",0,0,0,1,0,0
"), aguente..... rs Vale a pena!",0,0,0,0,0,0
Mesmo com os preços um pouco salgados....,0,0,0,0,0,1
"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,",0,0,0,1,0,1
Muito bom.,0,1,0,0,0,0
"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.",1,0,0,0,0,0
"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.",1,0,0,1,0,1
Já fui diversas vezes e sempre levando amigos e parentes para conhecer.,1,0,0,0,1,0
"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.",1,0,0,0,0,0
"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.",1,0,0,0,0,0
"Para quem não conhece ainda, recomendo.",0,0,0,0,1,0
Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.,0,0,0,1,0,0
"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.",1,0,0,1,0,1
SUPER RECOMENDO.,0,0,0,0,0,0
A tradição gaúcha está bem representada o a Búfalo.,0,1,0,1,0,0
Cortes especiais das mais nobres carnes são um convite todo especial.,1,1,0,1,0,1
"Delicioso, variado e completo buffet.",1,0,0,0,0,1
Pratos quentes fenomenais.,0,0,1,1,0,1
Também com opção de comida japonesa e peixes em geral.,0,0,0,1,0,0
Agrada facilmente todos os gostos.,0,0,0,0,0,0
"Ambiente amplo, confortável e muito agradável.",0,1,0,1,0,1
Atendimento nota 10.,0,0,0,0,0,1
Exelente localização.,1,0,0,0,0,1
"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.",0,0,0,0,1,0
"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.",1,0,0,0,0,1
atendimento deixa a desejar.,0,0,0,0,0,1
Nem sempre fui bem atendida.,0,1,0,0,0,0
Mesmo os não vegetarianos comerão bem.,0,0,0,0,0,0
"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.",0,0,0,1,0,1
"Almoçamos em uma sexta feira, fomos em 2 famílias.",0,0,0,0,0,0
A comida estava boa e bem servida.,0,0,0,0,1,1
O ambiente é amplo com 2 andares e banheiros bastante limpos.,0,1,0,0,0,1
O atendimento é cordial.,0,0,0,0,0,1
"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.",0,0,0,1,1,0
"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.",0,1,0,0,0,1
"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!",1,0,0,0,1,0
Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.,0,1,0,0,0,1
"Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.",0,0,0,0,1,0
Contém também sopas,0,0,0,0,0,0
O restaurante do SENAC é bem situado.,0,1,0,0,0,1
"Ambiente super higienizado, atendimento excelente, os preços são ótimos.",0,0,0,1,0,1
As comidas são excelentes.,0,0,0,0,0,1
"Muito bom..., aconselho!.",0,1,0,0,0,0
"Vale experimentar o tambaqui na brasa, é muito bom!!!",0,1,0,0,0,1
"O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.",0,1,0,1,0,1
Muito bom o atendimento.,0,1,0,0,0,1
Cardápio variado.,0,0,0,0,0,1
Culinária regional e deliciosa.,0,0,0,0,0,0
Ambiente agradável.,0,0,0,1,0,1
Custo benefício alto.,1,0,0,1,0,1
So vale a pena em datas especiais.,0,0,0,1,0,0
Recomendo conhecer.,0,0,0,0,0,0
"Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.",0,0,0,1,0,0
"O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.",0,0,0,1,0,0
Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.,1,0,0,0,0,1
"O tacacá não é um dos melhores, mas a música compensa.",0,0,0,1,0,0
Comida muito boa.,0,1,0,0,0,1
"Casa muito linda, grande e elegante.",0,1,0,0,0,1
Buffet variado de pratos quentes e frios.,0,0,0,1,0,1
"Churrascaria perfeita, Fanatástica!",0,0,0,1,0,1
Imperdivel!,0,0,0,0,0,0
"Excelente comida, excelente atendimento.",1,0,0,0,0,1
Pouca tempo de espera se consideramos que era uma data festiva.,0,0,0,1,0,1
"Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.",1,0,0,1,0,1
Manaus esta de parabéns!,0,0,0,0,0,0
"Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais.",1,0,0,0,0,0
O preço é mais salgado mas é justo.,0,1,0,0,0,1
Ambiente bem amplo.,0,1,0,0,0,1
Atendimento muito eficaz!,0,1,0,0,0,1
Recomendo!,0,0,0,0,0,0
"Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.",1,1,0,1,1,1
"Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!",1,0,0,0,0,0
"Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!",1,0,0,0,0,1
"É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!",1,0,0,0,0,0
A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa.,1,0,0,0,0,0
"Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.",1,1,0,0,0,1
"Cafezinho esse que aliás, é muito bom.",0,1,0,0,0,1
"O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...",1,0,0,1,0,1
"Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.",0,0,0,1,0,1
A melhor peixaria da cidade!,1,0,0,0,0,1
"Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.",1,0,0,1,0,1
"O preço é um pouco acima da média, mas vale cada centavo que custa.",0,0,0,0,0,1
Recomendo,0,0,0,0,0,0
Comemos um prato Camarões Beira mar!,0,0,0,0,0,0
"É excepcional, mas poderia vim um pouco mais...",0,0,0,0,0,0
Serve três pessoas.,0,0,0,0,0,0
Vem como acompanhamento batata cozida e arroz com brócolis!,0,0,0,0,0,0
Coco Bambu sempre tem fila!,0,0,0,0,1,0
É bom ligar antes para fazer a reserva.,0,0,0,0,0,0
Ligue o quanto antes porque o horário para agendar reserva é limitado.,0,0,0,0,0,1
"Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.",1,0,0,0,0,1
Recomendo quem quer saciar a fome..,0,0,0,0,0,0
"Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.",0,0,0,0,1,1
Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).,1,0,1,1,0,1
Como já disse o cardápio principal é de peixe amazônico.,0,0,0,1,1,0
Experimentei o 'Tambaqui na Telha'.,0,0,0,0,0,0
