sentence,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,subjectivity
"Ambiente agradável, bons pratos, comida saborosa , bom serviço, vale a pena conferir, bom tempero, recomendo",0.1356666666666666,2.849,0.1234285714285714,2.592,0.028,0.5880000000000001,0.0903809523809523,1.898,0.0083809523809523,0.176,1.0
"Lugar muito agradável, comida excelente é importante o bom atendimento dos garçons.",0.2986428571428571,4.181,0.1913571428571428,2.679,0.2417142857142857,3.384,0.2542857142857143,3.56,0.0435714285714285,0.6100000000000001,1.0
Recomendo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedimos um pirarucu ao molho de tucupi e não arrependemos,0.1226,1.226,0.0973,0.973,0.183,1.83,0.1343,1.343,0.0,0.0,0.0
"O Coqueiro verde serve uma deliciosa carne de sol, também contam com serviço de entrega o que é uma boa pedida para quem não quer sair de casa.. O serviço no restaurante é simples, a comida também, mas muito gostosa..",0.1040888888888889,4.684,0.0996666666666666,4.484999999999999,0.1093777777777777,4.922,0.1017111111111111,4.577,0.0284666666666666,1.281,1.0
"Ambiente confortável, ótimo atendimento com um garçon simpático, ele nos contou a história do empreendimento e sempre bem solícito.",0.1436818181818182,3.161,0.1244545454545454,2.738,0.1994545454545454,4.388,0.1558181818181818,3.4279999999999995,0.0,0.0,1.0
Comida Boa por um bom preço.,0.1414285714285714,0.99,0.0452857142857142,0.317,0.1455714285714285,1.019,0.1052857142857142,0.7369999999999999,0.0081428571428571,0.057,1.0
O restaurante fica dentro do hotel Vila Amazônia,0.1335,1.068,0.0,0.0,0.105,0.8400000000000001,0.119375,0.955,0.1195,0.956,0.0
"Boa carne, atendimento eficiente e grande variedade de saladas.",0.2885454545454545,3.174,0.3282727272727272,3.611,0.2537272727272727,2.791,0.289,3.1790000000000003,0.0038181818181818,0.042,1.0
Local agradável.,0.323,0.969,0.272,0.8160000000000001,0.2106666666666666,0.632,0.256,0.768,0.0373333333333333,0.112,1.0
Sucos com frutas locais além dos tradicionais.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adoro as pizzas e o almoço, nas duas unidades.",0.0217272727272727,0.239,0.013090909090909,0.144,0.0,0.0,0.0101818181818181,0.112,0.0041818181818181,0.046,1.0
O atendimento também é muito bom.,0.2194285714285714,1.536,0.1361428571428571,0.953,0.1721428571428571,1.205,0.2021428571428571,1.415,0.079,0.553,1.0
Delivery também vale super a pena.. a pizza chega bem quentinha!,0.1183076923076923,1.538,0.144076923076923,1.873,0.0707692307692307,0.92,0.111,1.443,0.0,0.0,1.0
"Estivemos no kawamura para provar o sashimi, mas acabamos provando outros pratos tbm, gostamos de tudo, porém faltou um pouquinho de tempero na costelinha de porco.",0.1266999999999999,3.801,0.1113666666666666,3.341,0.1228999999999999,3.687,0.1273333333333333,3.82,0.0317,0.951,0.0
Mas nada que nos impeça de voltar,0.2314285714285714,1.62,0.1554285714285714,1.088,0.24,1.6800000000000002,0.2428571428571428,1.7,0.1688571428571428,1.182,0.0
"Tambaqui um dos peixes mais gostosos de Manaus e região você pode comprar e fazer o mesmo caldeirada ou assado na brasa com o famoso tucupi, pimenta da região.",0.0862903225806451,2.6750000000000003,0.0763225806451613,2.366,0.0641612903225806,1.989,0.0739354838709677,2.292,0.0029999999999999,0.0929999999999999,0.0
Parada obrigatória sempre que vou a Manaus!!,0.084,0.756,0.0612222222222222,0.551,0.1026666666666666,0.924,0.0826666666666666,0.744,0.0,0.0,0.0
"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.",0.1304705882352941,2.218,0.0815294117647058,1.386,0.0661764705882353,1.125,0.088235294117647,1.5,0.0135294117647058,0.2299999999999999,0.0
"Atendimento bom, local familiar.",0.1585,0.951,0.1905,1.143,0.1228333333333333,0.737,0.151,0.906,0.0186666666666666,0.112,1.0
"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.",0.087047619047619,1.828,0.1006190476190476,2.113,0.0779523809523809,1.637,0.0846190476190476,1.777,0.009095238095238,0.191,1.0
"O tacacá continua bom, mas o problema ainda é o preço.",0.0619230769230769,0.805,0.0188461538461538,0.245,0.0153846153846153,0.2,0.0521538461538461,0.6779999999999999,0.0726923076923077,0.945,1.0
"Inclusive, recentemente houve um aumento para R$18,00.",0.1036999999999999,1.037,0.0312,0.312,0.099,0.99,0.0733999999999999,0.734,0.0136,0.136,0.0
Resultado: só dá para provar de vez em quando.,0.1282727272727273,1.411,0.0884545454545454,0.973,0.1481818181818181,1.63,0.1474545454545454,1.622,0.0772727272727272,0.85,0.0
"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.",0.0603333333333333,1.086,0.0698333333333333,1.257,0.0573333333333333,1.032,0.0625555555555555,1.126,0.0133888888888888,0.241,1.0
Deliciosos pratos.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Local aconchegante e familar.,0.0366,0.183,0.038,0.19,0.0246,0.123,0.0256,0.128,0.0224,0.112,1.0
Boa comida e boa bebida.,0.0371666666666666,0.223,0.0255,0.153,0.0048333333333333,0.029,0.0161666666666666,0.097,0.0095,0.057,1.0
Ideal para desfrutar um jantar romantico.,0.1537142857142857,1.076,0.0392857142857142,0.275,0.1705714285714285,1.194,0.118,0.826,0.0095714285714285,0.067,0.0
"Tucunaré escabeche, e primeira, pirão a gosto.",0.1422,1.4220000000000002,0.0916,0.916,0.1528,1.528,0.1289,1.289,0.0,0.0,0.0
Tucunaré peixada sem igual.,0.1238,0.619,0.0,0.0,0.178,0.89,0.1396,0.698,0.1167999999999999,0.584,1.0
"Vários tipos de molho regional, com tucupi e outros.",0.1330909090909091,1.464,0.111,1.221,0.1364545454545454,1.501,0.1526363636363636,1.679,0.0918181818181818,1.01,0.0
"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.",0.1083437499999999,3.467,0.1028124999999999,3.29,0.15609375,4.995,0.1426562499999999,4.565,0.06071875,1.943,1.0
"Os pratos, petiscos e bebidas são nota 10!",0.0828,0.8280000000000001,0.1046999999999999,1.047,0.1153999999999999,1.154,0.1008999999999999,1.009,0.0,0.0,1.0
Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.,0.0634666666666666,0.952,0.0131333333333333,0.197,0.0427333333333333,0.641,0.0472,0.708,0.0448,0.672,1.0
"Então, tenha paciência!",0.1804,0.902,0.1961999999999999,0.981,0.0,0.0,0.1256,0.628,0.0,0.0,0.0
"rs O bar lota nos fins de tarde, principalmente às sextas feiras.",0.0369285714285714,0.517,0.0742857142857142,1.04,0.0614285714285714,0.86,0.0575714285714285,0.806,0.0,0.0,0.0
"No andar de cima, o burburinho chega a ser insuportável de tanta gente!",0.1224,1.836,0.1364666666666666,2.047,0.1578666666666666,2.368,0.1604,2.406,0.0643333333333333,0.965,0.0
"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"), aguente..... rs Vale a pena!",0.0875555555555555,0.788,0.0992222222222222,0.893,0.0,0.0,0.0622222222222222,0.56,0.0,0.0,0.0
Mesmo com os preços um pouco salgados....,0.2435,1.948,0.1805,1.444,0.2375,1.9,0.2165,1.732,0.01175,0.094,1.0
"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,",0.1306896551724138,3.79,0.1312758620689655,3.807,0.104,3.016,0.1202068965517241,3.486,0.003103448275862,0.09,1.0
Muito bom.,0.256,0.768,0.0,0.0,0.1969999999999999,0.591,0.2123333333333333,0.637,0.1843333333333333,0.553,0.0
"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.",0.1312777777777777,2.363,0.0644444444444444,1.16,0.1464444444444444,2.636,0.1124999999999999,2.025,0.0045555555555555,0.082,0.0
"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.",0.1631999999999999,3.264,0.17865,3.573,0.2075499999999999,4.151,0.1809,3.618,0.00335,0.067,1.0
Já fui diversas vezes e sempre levando amigos e parentes para conhecer.,0.1207692307692307,1.57,0.0826153846153846,1.074,0.071076923076923,0.924,0.1074615384615384,1.3969999999999998,0.0684615384615384,0.89,0.0
"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.",0.11864,2.966,0.118,2.95,0.1344,3.36,0.13152,3.2880000000000003,0.02336,0.584,0.0
"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.",0.05864,1.466,0.0666,1.665,0.07164,1.791,0.06512,1.628,0.00464,0.116,0.0
"Para quem não conhece ainda, recomendo.",0.093375,0.747,0.0,0.0,0.0,0.0,0.06525,0.522,0.10225,0.818,0.0
Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.,0.0900714285714285,1.261,0.0791428571428571,1.108,0.0014285714285714,0.02,0.0534285714285714,0.748,0.0103571428571428,0.145,0.0
"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.",0.1736999999999999,6.947999999999999,0.183025,7.321000000000001,0.1523499999999999,6.093999999999999,0.168775,6.751000000000001,0.001425,0.057,1.0
SUPER RECOMENDO.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A tradição gaúcha está bem representada o a Búfalo.,0.1618,1.618,0.19,1.9,0.1895,1.895,0.1804,1.804,0.0,0.0,0.0
Cortes especiais das mais nobres carnes são um convite todo especial.,0.2095,2.514,0.0856666666666666,1.028,0.0994166666666666,1.193,0.1314999999999999,1.5779999999999998,0.0,0.0,1.0
"Delicioso, variado e completo buffet.",0.0731428571428571,0.512,0.0508571428571428,0.356,0.0711428571428571,0.498,0.0627142857142857,0.439,0.007,0.049,1.0
Pratos quentes fenomenais.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Também com opção de comida japonesa e peixes em geral.,0.0672727272727272,0.74,0.1023636363636363,1.126,0.079,0.869,0.0794545454545454,0.874,0.0051818181818181,0.057,0.0
Agrada facilmente todos os gostos.,0.0241666666666666,0.145,0.0,0.0,0.1486666666666666,0.892,0.0676666666666666,0.406,0.03,0.18,0.0
"Ambiente amplo, confortável e muito agradável.",0.312875,2.503,0.258,2.064,0.257,2.056,0.298875,2.391,0.069125,0.553,1.0
Atendimento nota 10.,0.192,0.768,0.23825,0.953,0.1535,0.614,0.1945,0.778,0.0,0.0,1.0
Exelente localização.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.",0.0548965517241379,1.592,0.1160689655172413,3.366,0.101103448275862,2.932,0.0866896551724138,2.514,0.0087241379310344,0.253,0.0
"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.",0.0790526315789473,1.502,0.055578947368421,1.056,0.0997894736842105,1.896,0.0782105263157894,1.4860000000000002,0.0,0.0,1.0
